,solver,jit_time,ave_run_time,ave_distance,jit_grad_time,jit_vmap_time,ave_grad_run_time,construction_time,step_count,tol,cpus,gpus,cheb_order,exp_order,vmap,num_inputs,test
87,magnus,9.901143074035645,3.7020236325263975,4.244617160229443e-05,28.172795057296753,9.488120079040527,13.357987959384918,5.0926854610443115,10000.0,0.0,64,0,1,2,1,1,0
88,dyson,5.502782106399536,0.7746000504493713,0.0012564464115867912,13.828792095184326,6.259400367736816,2.2134050607681273,7.102914333343506,30000.0,0.0,64,0,2,2,1,1,0
89,dyson,4.122294664382935,0.7732880020141601,2.0127115844477493e-05,11.161332845687866,5.289730787277222,2.110429379940033,2.3928005695343018,30000.0,0.0,64,0,0,3,1,1,0
90,dyson,2.8686163425445557,0.6211225700378418,3.6512354853733164e-06,220.99674940109253,95.63400387763977,1.4204494984944662,3.4622795581817627,10000.0,0.0,1,0,0,4,1,150,0
91,dyson,9.319923877716064,4.843993890285492,3.752996640228492e-07,112.19006443023682,55.72081708908081,9.285938172340392,49.13900136947632,10000.0,0.0,1,0,1,5,1,10,0
92,magnus,15.113450527191162,5.261539525985718,4.252053179084283e-05,49.69240641593933,15.057501792907715,19.177272970676423,9.296437501907349,10000.0,0.0,1,0,2,2,1,1,0
93,dyson,5.649015426635742,0.8337168002128601,2.0122504687803906e-05,15.835680961608887,6.1996543407440186,2.3187785053253176,5.894181966781616,30000.0,0.0,64,0,1,3,1,1,0
94,dyson,6.767970561981201,0.9457570791244507,2.012187170104211e-05,21.681299686431885,7.8345420360565186,2.6539718675613404,12.065345048904419,30000.0,0.0,64,0,2,3,1,1,0
95,dyson,4.816752910614014,0.7847507882118225,2.5022920572551994e-07,12.390977382659912,5.499690532684326,2.138968434333801,2.667904853820801,30000.0,0.0,64,0,0,4,1,1,0
96,magnus,9.769797325134277,3.59852073431015,4.252053482489755e-05,28.781328678131104,9.567623853683472,13.454971315860748,8.543660163879395,10000.0,0.0,64,0,2,2,1,1,0
97,magnus,14.972420930862427,5.955607640743255,4.252053179088257e-05,245.2800133228302,72.55256509780884,19.935616121292114,9.118866205215454,10000.0,0.0,1,0,2,2,1,10,0
98,dyson,6.345543146133423,0.9468799877166748,6.468069710520351e-08,19.14620018005371,7.533857583999634,2.5553622531890867,7.662482023239136,30000.0,0.0,64,0,1,4,1,1,0
99,dyson,33.09813189506531,22.952540585994722,7.126540632345547e-08,76.73232245445251,38.09130907058716,43.72723417043686,393.49075198173523,10000.0,0.0,1,0,2,5,1,1,0
100,dyson,2.8836867809295654,1.0460311245918275,0.002809944157641297,8.498950004577637,3.3529679775238037,2.4360934281349182,2.6010398864746094,20000.0,0.0,1,0,0,2,1,1,0
101,dyson,5.283985376358032,2.0999637540181477,2.3892881069332393e-06,635.7895419597626,319.0822546482086,4.208848009109497,19.205366611480713,10000.0,0.0,1,0,1,4,1,150,0
102,dyson,9.090938806533813,1.411379063129425,2.703204880758747e-08,26.93540930747986,10.037030935287476,3.8444132208824158,31.30033564567566,30000.0,0.0,64,0,2,4,1,1,0
103,dyson,3.53997540473938,1.2130456686019897,0.0028099665054983156,10.077191829681396,4.033247232437134,2.790934739112854,4.351386070251465,20000.0,0.0,1,0,1,2,1,1,0
104,dyson,4.941266298294067,0.7626729822158813,2.4017273147151234e-07,13.789151430130005,5.8806164264678955,2.1233772015571595,2.9577629566192627,30000.0,0.0,64,0,0,5,1,1,0
105,magnus,14.085267782211304,5.104669904708862,6.891657083964715e-06,45.99967074394226,14.006534814834595,18.955427491664885,3.444136142730713,10000.0,0.0,1,0,0,3,1,1,0
106,dyson,4.279946327209473,1.4434154748916626,0.0028100444113636405,12.5265212059021,4.873287200927734,3.4236873626708983,8.161188125610352,20000.0,0.0,1,0,2,2,1,1,0
107,dyson,7.940784215927124,1.0601100492477418,4.054509314552964e-08,22.96005415916443,8.674931287765503,3.1469809794425965,16.161557912826538,30000.0,0.0,64,0,1,5,1,1,0
108,magnus,9.533818244934082,3.7149842238426207,6.8916596868684494e-06,27.841010570526123,9.153995752334595,13.640683135986329,3.3992724418640137,10000.0,0.0,64,0,0,3,1,1,0
109,dyson,3.103621244430542,1.1369802689552306,6.69100146897957e-05,9.38271427154541,4.356647253036499,2.68267231464386,2.1659493446350098,20000.0,0.0,1,0,0,3,1,1,0
110,dyson,16.581690073013306,9.775682649612428,2.0562171210230576e-06,1018.6427643299103,494.78456926345825,21.37047473907471,140.15242624282837,10000.0,0.0,1,0,2,4,1,50,0
