,solver,jit_time,ave_run_time,ave_distance,jit_grad_time,jit_vmap_time,ave_grad_run_time,construction_time,step_count,tol,cpus,gpus,cheb_order,exp_order,vmap,num_inputs,test
147,dense,17.930161952972412,0.15691758632659913,4.6032109317420273e-07,107.95563244819641,18.139461278915405,1.0159927916526794,0.0,0.0,1e-09,0,1,10,0,1,100,0
148,magnus,2.278782606124878,0.05740790605545044,1.96725239042693e-10,4.465367078781128,2.326097249984741,0.19443424940109252,22.16339874267578,20000.0,0.0,0,1,2,4,1,1,0
149,magnus,1.5390281677246094,0.04340746402740479,5.412519597210888e-07,3.0970304012298584,1.5387215614318848,0.166788911819458,1.8925528526306152,20000.0,0.0,0,1,0,5,1,1,0
150,magnus,1.9075491428375244,0.052604575157165524,9.126548577583503e-08,3.902926445007324,2.0978665351867676,0.1850833773612976,17.55465316772461,20000.0,0.0,0,1,1,5,1,1,0
151,dense,27.575527667999268,0.2472930693626404,2.5023317145941133e-08,159.83148503303528,26.900167226791382,1.5267699718475343,0.0,0.0,1e-10,0,1,10,0,1,100,0
152,dense,41.79665422439575,0.6561327457427979,1.4862926563465549e-09,184.1333327293396,35.00965595245361,3.554945423603058,0.0,0.0,1e-11,0,1,10,0,1,50,0
153,magnus,2.962968587875366,0.09405471086502075,1.4285407990690662e-10,5.552513122558594,3.0900158882141113,0.26442847490310667,304.2783534526825,20000.0,0.0,0,1,2,5,1,1,0
154,magnus,1.427189588546753,0.06255385637283326,6.109064770391645e-07,2.78712797164917,1.4889328479766846,0.24575079917907716,1.8388481140136719,30000.0,0.0,0,1,0,2,1,1,0
155,magnus,1.7285394668579102,0.06307164430618287,5.45169909952134e-07,3.3982644081115723,1.8423793315887451,0.24651658058166503,3.7783937454223633,30000.0,0.0,0,1,1,2,1,1,0
156,dense,5.959678411483765,2.42073712348938,0.003828857903312797,16.33343005180359,4.358277797698975,11.376447367668153,0.0,0.0,1e-06,0,1,10,0,1,1,0
157,magnus,2.026646614074707,0.06369712829589844,5.51194528401291e-07,3.857436418533325,3.515126943588257,0.2476431655883789,4.050994873046875,30000.0,0.0,0,1,2,2,1,1,0
158,magnus,1.5015251636505127,0.06283803939819337,2.571786092806066e-07,3.060589551925659,1.5388484001159668,0.24638420104980469,1.6511564254760742,30000.0,0.0,0,1,0,3,1,1,0
159,magnus,1.8850369453430176,0.06441564798355102,9.476756326367972e-08,3.6024398803710938,1.992889165878296,0.24950073003768922,2.6420860290527344,30000.0,0.0,0,1,1,3,1,1,0
160,magnus,2.2146356105804443,0.06809419393539429,9.127666800292055e-08,4.084253549575806,2.299342632293701,0.25646406650543213,6.391438961029053,30000.0,0.0,0,1,2,3,1,1,0
161,magnus,1.5685417652130127,0.06318764209747314,2.401803593918426e-07,3.170105457305908,1.59745192527771,0.24709625244140626,1.7292041778564453,30000.0,0.0,0,1,0,4,1,1,0
162,magnus,1.9542486667633057,0.0679926347732544,4.0568639552380676e-08,3.8041579723358154,2.042581081390381,0.2567568778991699,5.386338472366333,30000.0,0.0,0,1,1,4,1,1,0
163,magnus,2.49564790725708,0.08487574338912963,1.3917781487899662e-10,4.765173435211182,2.62064528465271,0.28939090013504026,21.050714015960693,30000.0,0.0,0,1,2,4,1,1,0
